keys,ja
WORD_LANGAGE_JP_____,"日本語"
WORD_ASSIST__RLD_DEM,"体験版のプレイありがとうございます！\n[C_G]体験版の続き[/C]から始めますか？"
WORD_ASSIST__NO_DEMO,"※体験版の範囲だけでは解けない謎です。製品版でお楽しみください。"
WORD_ERROR___DBLLNCH,"多重起動エラー\n（ゲームは既に起動されています）"
WORD_ERROR_C_DBLLNCH,"もし、ゲームが強制終了した後にこのエラーが出た場合、\n10秒待ってから再起動してください。"
WORD_BASIC___G_MAIN_,"製品版"
WORD_BASIC___G_DEMO_,"体験版"
WORD_BASIC___G_TITLE,"さよならのチェックリスト"
WORD_BASIC___CREATER,"制作\nでんじゃ\n（いたって でんじゃらす）"
WORD_BASIC___S_BGM__,"BGM\n魔王魂 様"
WORD_BASIC___S_SE__H,"えっちな効果音\nタイガーリリー 様\n（効果声素材集　by tigerlily）"
WORD_BASIC___S_SE__N,"えっちじゃない効果音\n小森平 様\n（無料効果音で遊ぼう！）"
WORD_BASIC___S_THANK,"スペシャルサンクス\nあなた"
WORD_OPERATE_TITLE__,"操作方法"
WORD_OPERATE_COM_MLN,"共通　 ：アクション（つかむ、調べる等）"
WORD_OPERATE_COM_MLH,"Hシーン：（長押しで）挿入"
WORD_OPERATE_COM_MRN,"共通　 ：キャンセル"
WORD_OPERATE_COM_MRH,"Hシーン：クリックエリア表示"
WORD_OPERATE_COM_MVS,"探索中 ：部屋を移動"
WORD_OPERATE_COM_PIH,"Hシーン：ピストン速度変更"
WORD_OPERATE_COM_CTN,"共通　 ：（長押しで）既読スキップ"
WORD_MENU____LANG___,"言語"
WORD_MENU____ROLLBCK,"LOOP"
WORD_MENU____OPT_FUL,"画面モード"
WORD_MENU____OPT_PIX,"画面サイズをリセット"
WORD_MENU____OPT_BGM,"BGM"
WORD_MENU____OPT_SE_,"効果音"
WORD_MENU____OPT_DIR,"セーブフォルダを開く"
WORD_MENU____OPT_DEL,"セーブデータを初期化"
WORD_MENU____OPT_END,"ゲームを終了する"
WORD_CHKLBL__DELETE1,"初期化すると[C_D]元に戻せません。[/C]\n本当に[C_D]セーブデータを初期化[/C]しますか？"
WORD_CHKLBL__DELETE2,"[C_D][shake]後悔しませんね？[/shake][/C]"
WORD_CHKLBL__ENDGAME,"ゲームを終了しますか？"
WORD_BUTTON__ENDGAME,"終了する"
WORD_BUTTON__DELETE_,"初期化する"
WORD_BUTTON__CANCEL_,"キャンセル"
WORD_BUTTON__PLAYFIS,"最初から"
WORD_BUTTON__PLAYAFT,"体験版の続きから"
WORD_BUTTON__FULLSCR,"Full Screen Mode"
WORD_BUTTON__WINDOW_,"Window Mode"
WORD_WINSIZE_1280___,"1280*720 (default)"
WORD_WINSIZE_1600___,"1600*900"
WORD_WINSIZE_1920___,"1920*1080"
WORD_NAME____GIRL1__,"ひとな"
WORD_NAME____GIRL2__,"ふたな"
WORD_NAME____GIRL3__,"みつな"
WORD_NAME____GIRL4__,"よつな"
WORD_FULNAME_GIRL1__,"長女 ひとな"
WORD_FULNAME_GIRL2__,"次女 ふたな"
WORD_FULNAME_GIRL3__,"三女 みつな"
WORD_FULNAME_GIRL4__,"四女 よつな"
WORD_COUNT___EJAC__M,"口内射精"
WORD_COUNT___EJAC__V,"膣内射精"
WORD_COUNT___EJAC__A,"肛内射精"
WORD_COUNT___EJAC_SL,"睡眠射精"
WORD_COUNT___EJAC_LO,"絶頂射精"
WORD_COUNT___EJAC_DF,"破瓜射精"
WORD_COUNT___EJAC_FO,"足コキ"
WORD_COUNT___EJAC_BO,"拘束射精"
WORD_CHKLIST_TITLE__,"さよならのチェックリスト"
WORD_CHKLIST_GIRLLST,"標的リスト"
WORD_CHKLIST_PLAYLST,"プレイ内容"
WORD_CHKLIST_END____,"エピローグへ"
WORD_SKLLIST_TITLE__,"スキルリスト"
WORD_STGLIST_TITLE__,"侵入する"
WORD_PLAY____FERA___,"おくちえっち"
WORD_PLAY____VAGI___,"おとなえっち"
WORD_PLAY____ANAL___,"おしりえっち"
WORD_PLAY____SLEEP__,"すやすやえっち"
WORD_PLAY____BONDAGE,"しばりえっち"
WORD_PLAY____LOVE___,"らぶらぶえっち"
WORD_PLAYCND_FERA___,"条件　：オーラルセックスで口内に射精"
WORD_PLAYCND_VAGI___,"条件　：処女膜を破って膣内に射精"
WORD_PLAYCND_ANAL___,"条件　：アナルセックスで肛内に射精"
WORD_PLAYCND_SLEEP__,"条件　：睡眠中、起こさないように射精"
WORD_PLAYCND_BONDAGE,"条件　：手足を拘束した状態で射精"
WORD_PLAYCND_LOVE___,"条件　：絶頂させて射精（一部のみ可能）"
WORD_PLAYRNK_FERA___,"難易度：★☆☆☆☆"
WORD_PLAYRNK_VAGI___,"難易度：★★☆☆☆"
WORD_PLAYRNK_ANAL___,"難易度：★★★★☆"
WORD_PLAYRNK_SLEEP__,"難易度：★★★★☆"
WORD_PLAYRNK_BONDAGE,"難易度：★★★☆☆"
WORD_PLAYRNK_LOVE___,"難易度：★★★★★"
WORD_SKILL_L_COMP___,"達成"
WORD_SKILL_L_RELS___,"スキル解放"
WORD_SKILL_N_LOOP___,"包丁なしでもループ可能"
WORD_SKILL_C_LOOP___,"ループ回数5回以上"
WORD_SKILL_N_LOTION_,"ベビーオイルを自動取得（おしりえっち）"
WORD_SKILL_C_LOTION_,"「おしりえっち」成功"
WORD_SKILL_N_ROPE___,"拘束グッズを自動取得（しばりえっち）"
WORD_SKILL_C_ROPE___,"「しばりえっち」成功"
WORD_SKILL_N_SEXBOY_,"スムーズに挿入可能（おとなえっち）"
WORD_SKILL_C_SEXBOY_,"「おとなえっち」成功"
